cell_id,centroid_lat,centroid_lon,area_km2,wind_speed,wind_confidence,demand_proxy,source_region,demand_confidence,dist_transmission_km,dist_substation_km,dist_connection_km,inside_rez,rez_name,infra_confidence,elevation_m,slope_deg,tri,land_use,protected_area,protected_area_name,geo_confidence,eligible,exclusion_reason,triggered_rules,data_flags,n_missing_features
S28.186_E144.286,-28.18625,144.28625000000002,27.20475910481754,6.586838864088058,valid,1.0,QLD1,high,267.4957429426668,267.4902742373606,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.336,-28.18625,144.33625000000004,27.204759104804307,6.792460789680481,valid,1.0,QLD1,high,264.6371076899087,264.63049111151196,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.386,-28.18625,144.38625000000002,27.204759104818685,6.898631185293198,valid,1.0,QLD1,high,261.8355473393958,261.82775987910776,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.436,-28.18625,144.43625000000003,27.204759104803504,6.8313697338104244,valid,1.0,QLD1,high,259.09291377899496,259.0839325194834,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.486,-28.18625,144.48625,27.204759104819676,6.812349025011063,valid,1.0,QLD1,high,256.4110983269417,256.40090051362114,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.536,-28.18625,144.53625000000002,27.204759104804353,6.900083783864975,valid,1.0,QLD1,high,253.79202939905662,253.780592517357,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.586,-28.18625,144.58625000000004,27.20475910481878,6.8233553516864776,valid,1.0,QLD1,high,251.237669745121,251.22497160378546,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.636,-28.18625,144.63625000000002,27.204759104804786,6.5299123191833495,valid,1.0,QLD1,high,248.75001322658295,248.73603204695954,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.686,-28.18625,144.68625000000003,27.204759104816684,6.357287846803665,valid,1.0,QLD1,high,246.3310811099653,246.31579562117253,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.736,-28.18625,144.73625,27.204759104804022,6.292002918720246,valid,1.0,QLD1,high,243.98291785313947,243.9663073928904,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
